"","quad","site","real.date","comm.date","month","urch","chit","treat","BASP","CCAP","EALM","RFSP","OPCA","RBSP","AGFI","BFSP","DICL","Cris","HEPA","PHPA","BRUP","HBCO","SPS1","SPS3","SPS8","SPS9","SPS10","SPOT","MSP1","SYSP","SCUN","BRSH","EUBI","DELI","HYSP","EPSC","BAEL","MEFA.t","GERU","DOCO","DOFE","TUBE","PSOC","VECO","BACR","PSCH","TETR","CHHA","POMA","META","PYST","PEAN","CLHU","DICA","TCM3","DITR","EUPU","SYPA","APPO","APSO","TCM2","TCOT","BOVI","Chel","Core","CNFI","HAIG","Stye","ASPA","TSV1","TSV2","TSOT","INOT","OTHE","SHEL","FUZZ","RUBB"
"36","PG3_95","PG","10-Dec-07",39426,712,"u_con","c_rem","u_con.c_rem",0,0.073520965,0.050545663,0.013785181,0,0.071223435,0,0,0,0,0.00229753,0,0,0.468696152,0.00459506,0,0,0,0,0,0.039402642,0,0,0,0.170017231,0,0.055140724,0,0.013785181,0,0,0,0,0.009304997,0.000114877,0,0,0,0.00229753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00689259,0,0,0,0,0,0,0,0,0.013785181,0
"37","PG4_28","PG","10-Dec-07",39426,712,"u_rem","c_con","u_rem.c_con",0.015445719,0.346425419,0.368490733,0,0,0,0,0,0,0,0,0,0,0.059576346,0,0.011032657,0,0,0,0,0,0,0.008826125,0,0,0,0,0,0,0,0,0.017652251,0,0,0,0,0,0,0.002206531,0,0,0.168027361,0,0,0,0.002316858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","PG4_5","PG","10-Dec-07",39426,712,"u_rem","c_rem","u_rem.c_rem",0.022082367,0.074307166,0.596223915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000110412,0,0,0.000110412,0,0,0,0,0,0,0.300541018,0,0,0,0.004416473,0,0,0,0,0,0,0,0,0.002208237,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","PG4_65","PG","10-Dec-07",39426,712,"u_rem","c_con","u_rem.c_con",0,0.153820072,0.264579566,0,0,0.009041591,0,0,0,0,0,0,0,0.024864376,0,0.022603978,0,0,0,0.002260398,0,0,0.004520796,0.004520796,0,0.004520796,0.006781193,0,0.0204566,0,0,0.02034358,0,0.002260398,0.00011302,0,0,0,0.002260398,0,0,0.443150995,0,0,0,0.007120253,0.002260398,0,0,0,0,0,0,0,0,0,0,0.002260398,0,0,0,0,0,0,0,0,0,0.002260398,0
"40","PG4_94","PG","10-Dec-07",39426,712,"u_rem","c_rem","u_rem.c_rem",0.015232292,0.27657491,0.472309868,0,0,0,0,0,0,0,0,0,0,0.052225003,0,0.006528125,0,0,0,0.004352084,0,0,0.002176042,0,0,0,0,0,0,0,0,0.004460886,0,0,0,0,0,0,0,0,0,0.150799695,0,0,0,0.010989011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004352084,0
"41","PG5_2","PG","10-Dec-07",39426,712,"u_rem","c_con","u_rem.c_con",0.01939629,0.201236514,0.368529519,0.012122682,0,0.002424536,0,0,0,0,0,0,0,0.014547218,0,0,0,0,0,0,0,0,0.101830525,0.215783731,0,0,0.004849073,0,0.019881198,0,0,0,0,0,0.00036368,0,0,0,0.002424536,0,0,0.029336889,0,0,0,0.004849073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","PG5_3","PG","10-Dec-07",39426,712,"u_rem","c_con","u_rem.c_con",0.020773226,0.290825159,0.150028852,0.011656088,0,0.034622043,0,0,0,0,0,0,0,0.043854587,0,0.016156953,0,0,0,0,0,0,0.023081362,0.043854587,0,0,0.006924409,0,0.013964224,0,0,0,0,0.002308136,0,0,0,0,0.002308136,0,0,0.316330063,0,0,0,0.011656088,0,0,0,0,0,0,0,0,0,0.002308136,0,0,0,0,0,0,0,0,0,0,0.002423543,0.004616272,0
"43","PG5_92","PG","10-Dec-07",39426,712,"u_rem","c_rem","u_rem.c_rem",0.08833011,0.739307973,0.131098216,0,0,0.002149151,0,0,0,0,0,0,0,0.002149151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036857941,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000107458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","PG5_93","PG","10-Dec-07",39426,712,"u_rem","c_rem","u_rem.c_rem",0.016228121,0.238901124,0.241103512,0.002318303,0,0.002318303,0,0,0,0.011591515,0,0,0,0.020864727,0,0,0,0,0,0,0,0,0.041729454,0.048684363,0,0.002318303,0.002318303,0,0.013909818,0,0,0,0,0,0.00023183,0.002318303,0,0,0,0,0,0.331865075,0,0,0,0.009389127,0,0,0,0,0,0,0,0,0,0.002318303,0,0,0,0,0,0,0,0,0,0,0.004636606,0.006954909,0
"45","PG6_B","PG","10-Dec-07",39426,712,"u_con","c_rem","u_con.c_rem",0.009430626,0.285276435,0.157962985,0,0,0.025934221,0,0,0,0,0,0,0,0.414947542,0,0,0,0,0,0,0,0,0.030649534,0.049510786,0,0,0,0,0.009548509,0,0,0,0,0.004715313,0.002593422,0,0,0,0,0,0.002357656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007072969,0
