Retention,Region,Reg,Site,Site.no,Transect,Photo,Initials,space.raw,sedim.raw,space,sedim,space.per,sedim.per,richness,richplus,mob.count,mob.rich
Low,Haro,A,LK,3,LK6_48,P1010374,WG,68,0,0.43,0,42.5,0,11,13,7,5
Low,Haro,A,LK,3,LK6_48,P1010375,WG,69,0,0.43,0,43.13,0,12,14,4,3
Low,Haro,A,LK,3,LK6_48,P1010376,WG,56,0,0.35,0,35,0,9,10,8,6
Low,Haro,A,LK,3,LK7_63,P1010378,WG,65,0,0.41,0,40.63,0,8,10,5,4
Low,Haro,A,LK,3,LK7_63,P1010379,WG,58,0,0.36,0,36.25,0,16,18,6,5
Low,Haro,A,LK,3,LK7_63,P1010380,WG,58,0,0.36,0,36.25,0,9,11,3,3
Low,Haro,A,LK,3,LK7_63,P1010381,WG,60,0,0.38,0,37.5,0,8,10,9,6
Low,Haro,A,LK,3,LK8_65,P1010383,WG,54,0,0.34,0,33.75,0,12,14,9,6
Low,Haro,A,LK,3,LK8_65,P1010384,WG,47,0,0.29,0,29.38,0,14,16,6,4
Low,Haro,A,LK,3,LK8_65,P1010385,WG,24,0,0.15,0,15,0,12,14,0,0
Low,Haro,A,LK,3,LK8_65,P1010386,WG,48,0,0.3,0,30,0,13,15,2,2
Low,Haro,A,LI,4,LI2_63,P1010190,WG,27,0,0.17,0,16.88,0,18,20,1,1
Low,Haro,A,LI,4,LI2_63,P1010191,WG,44,0,0.28,0,27.5,0,20,22,10,5
Low,Haro,A,LI,4,LI2_63,P1010192,WG,28,0,0.18,0,17.5,0,13,15,10,6
Low,Haro,A,LI,4,LI2_63,P1010193,WG,28,0,0.18,0,17.5,0,15,17,11,5
Low,Haro,A,LI,4,LI3_49,P1010196,WG,42,0,0.26,0,26.25,0,13,15,24,8
Low,Haro,A,LI,4,LI3_49,P1010197,WG,43,0,0.27,0,26.88,0,8,10,32,7
Low,Haro,A,LI,4,LI3_49,P1010200,WG,55,0,0.34,0,34.38,0,15,17,5,4
Low,Haro,A,LI,4,LI3_49,P1010201,WG,52,0,0.33,0,32.5,0,6,8,4,4
Low,Haro,A,LI,4,LI5_60,P1010209,WG,59,0,0.37,0,36.88,0,14,16,63,5
Low,Haro,A,LI,4,LI5_60,P1010210,WG,56,0,0.35,0,35,0,9,11,84,4
Low,Haro,A,LI,4,LI5_60,P1010211,WG,52,0,0.33,0,32.5,0,7,9,53,5
Low,Haro,A,LI,4,LI5_60,P1010212,WG,77,0,0.48,0,48.13,0,7,9,20,9
Low,Haro,A,LI,4,LI6_56,P1010214,WG,49,0,0.31,0,30.63,0,9,11,3,3
Low,Haro,A,LI,4,LI6_56,P1010215,WG,33,0,0.21,0,20.63,0,15,17,3,1
Low,Haro,A,LI,4,LI6_56,P1010216,WG,52,0,0.33,0,32.5,0,13,15,6,3
Low,Haro,A,LI,4,LI6_56,P1010217,WG,59,0,0.37,0,36.88,0,11,13,7,6
Low,Haro,A,LI,4,LI7_54,P1010220,WG,47,0,0.29,0,29.38,0,13,15,4,3
Low,Haro,A,LI,4,LI7_54,P1010221,WG,29,0,0.18,0,18.13,0,9,11,1,1
Low,Haro,A,LI,4,LI7_54,P1010222,WG,27,0,0.17,0,16.88,0,7,9,1,1
Low,Haro,A,LI,4,LI7_54,P1010223,WG,22,0,0.14,0,13.75,0,7,8,0,0
Low,Haro,A,LI,4,LI8_50,P1010225,WG,44,0,0.28,0,27.5,0,14,16,6,5
Low,Haro,A,LI,4,LI8_50,P1010226,WG,57,0,0.36,0,35.63,0,16,18,9,5
Low,Haro,A,LI,4,LI8_50,P1010227,WG,35,0,0.22,0,21.88,0,8,9,4,2
Low,Haro,A,LI,4,LI8_50,P1010228,WG,20,0,0.13,0,12.5,0,5,7,0,0
